Private School Name,State Name [Private School] Latest available year,State Name [Private School] 2015-16,Private School Name [Private School] 2015-16,County Name [Private School] 2015-16
ACADEMY OF ST FRANCIS OF ASSISI,NEW JERSEY,NEW JERSEY,ACADEMY OF ST FRANCIS OF ASSISI,PASSAIC
ACADEMY OF ST JOSEPH,NEW YORK,NEW YORK,ACADEMY OF ST JOSEPH,NEW YORK
ACADEMY OF ST THERESE OF LISIUEX,NEW JERSEY,NEW JERSEY,ACADEMY OF ST THERESE OF LISIUEX,BERGEN
ACADEMY OF THE HOLY ANGELS,NEW JERSEY,NEW JERSEY,ACADEMY OF THE HOLY ANGELS,BERGEN
ACADEMY OF THE HOLY CROSS,MARYLAND,MARYLAND,ACADEMY OF THE HOLY CROSS,MONTGOMERY
ACADEMY OF THE HOLY FAMILY,CONNECTICUT,CONNECTICUT,ACADEMY OF THE HOLY FAMILY,NEW LONDON
ACADEMY OF THE HOLY NAMES,FLORIDA,FLORIDA,ACADEMY OF THE HOLY NAMES,HILLSBOROUGH
ACADEMY OF THE HOLY NAMES,NEW YORK,NEW YORK,ACADEMY OF THE HOLY NAMES,ALBANY
ACADEMY OF THE MOST BLESSED SACRAMENT,NEW JERSEY,NEW JERSEY,ACADEMY OF THE MOST BLESSED SACRAMENT,BERGEN
ACADEMY OF THE NEW CHURCH BOYS SCHOOL,PENNSYLVANIA,PENNSYLVANIA,ACADEMY OF THE NEW CHURCH BOYS SCHOOL,MONTGOMERY
ACADEMY OF THE SACRED HEART,MICHIGAN,MICHIGAN,ACADEMY OF THE SACRED HEART,OAKLAND
ACADEMY OF THE SACRED HEART,MISSOURI,MISSOURI,ACADEMY OF THE SACRED HEART,ST. CHARLES
ACADEMY ON THE HILL,CALIFORNIA,CALIFORNIA,ACADEMY ON THE HILL,ORANGE
ACADEMY PREP CENTER OF ST PETERSBURG,FLORIDA,FLORIDA,ACADEMY PREP CENTER OF ST PETERSBURG,PINELLAS
ACADEMY PREP CENTER OF TAMPA,FLORIDA,FLORIDA,ACADEMY PREP CENTER OF TAMPA,HILLSBOROUGH
ACADEMY PRESCHOOL/KINDERGARTEN,NEW JERSEY,NEW JERSEY,ACADEMY PRESCHOOL/KINDERGARTEN,MORRIS
ACADEMY PRIMARY SCHOOL & CHILD DEVELOPMENT CENTER,MARYLAND,MARYLAND,ACADEMY PRIMARY SCHOOL & CHILD DEVELOPMENT  CTR,MONTGOMERY
ACADEMY SCHOOLS,WASHINGTON,WASHINGTON,ACADEMY SCHOOLS,KING
ACADEMY-NOTRE DAME DE NAMUR,PENNSYLVANIA,PENNSYLVANIA,ACADEMY-NOTRE DAME DE NAMUR,DELAWARE
ACADIA MONTANA,MONTANA,MONTANA,ACADIA MONTANA,SILVER BOW
ACARATH MONTESSORI CENTER,ILLINOIS,ILLINOIS,ACARATH MONTESSORI CENTER,COOK
ACCEL,ARIZONA,ARIZONA,ACCEL,MARICOPA
ACCELERATED SCHOOLS,COLORADO,COLORADO,ACCELERATED SCHOOLS,DENVER
ACCELERATION CHRISTIAN EDUCATION (NON-DENONMINATIO,FLORIDA,FLORIDA,WORLD MISSION OF JESUS CHRIST CHRISTIAN ACADEMY,MIAMI-DADE
ACCESS SCHOOLS,ARKANSAS,ARKANSAS,ACCESS SCHOOLS,PULASKI
ACCOTINK ACADEMY,FLORIDA,FLORIDA,ACCOTINK ACADEMY,ST. JOHNS
ACCOTINK ACADEMY,VIRGINIA,VIRGINIA,ACCOTINK ACADEMY,FAIRFAX
ACCOTINK ACADEMY LEARNING CENTER,VIRGINIA,VIRGINIA,ACCOTINK ACADEMY LEARNING CENTER,FAIRFAX
ACCOTINK ACADEMY PRESCHOOL,VIRGINIA,VIRGINIA,ACCOTINK ACADEMY PRESCHOOL,FAIRFAX
ACE ACADEMY,TEXAS,TEXAS,ACE ACADEMY,TRAVIS
ACE ACADEMY SOUTH,FLORIDA,FLORIDA,ACE ACADEMY SOUTH,MIAMI-DADE
ACERA SCHOOL,MASSACHUSETTS,MASSACHUSETTS,ACERA SCHOOL,MIDDLESEX
